,graph_density,graph_diameter,clustering_coeff,spectral_gap,assortativity,cliques,components,motif3,motif4
0,-0.002,-0.003,-0.001,-0.007,0.005,-0.002,-0.002,0.0,-0.004
1,-0.002,-0.001,-0.002,-0.009,0.006,-0.002,-0.002,-0.0,-0.004
2,0.001,0.007,-0.003,-0.015,0.009,-0.003,-0.003,-0.002,-0.007
3,-0.002,0.006,-0.006,0.003,-0.012,-0.005,0.0,0.009,-0.01
4,-0.034,-0.028,0.01,0.037,0.043,-0.001,0.001,0.049,0.006
5,-0.003,0.001,-0.001,-0.01,0.003,0.0,-0.001,-0.005,-0.003
6,-0.003,0.009,-0.001,-0.013,0.005,-0.001,-0.002,-0.007,-0.005
7,0.003,-0.008,-0.001,-0.011,0.009,-0.001,-0.002,-0.005,-0.004
8,-0.005,-0.005,-0.004,0.008,-0.01,-0.001,0.0,0.002,-0.004
9,-0.026,-0.086,0.008,0.047,0.043,-0.002,0.001,0.038,0.005
10,0.0,0.004,-0.003,-0.014,0.007,-0.004,-0.003,-0.009,-0.009
11,0.001,-0.001,-0.003,-0.012,0.007,-0.004,-0.003,-0.009,-0.007
12,0.001,-0.003,-0.003,-0.01,0.005,-0.003,-0.003,-0.008,-0.007
13,-0.007,-0.004,-0.005,0.011,-0.016,-0.005,0.0,0.002,-0.008
14,0.07,0.04,0.026,0.053,0.106,0.025,0.002,0.042,0.043
15,-0.002,0.0,-0.001,-0.02,-0.006,0.001,0.001,-0.011,0.014
16,-0.004,0.0,-0.002,-0.017,-0.006,0.001,0.002,-0.013,0.015
17,-0.002,0.001,-0.0,-0.022,-0.008,0.002,0.001,-0.012,0.016
18,0.022,0.037,0.072,0.184,0.065,0.038,0.0,0.067,0.097
19,-0.006,-0.002,-0.01,0.027,-0.005,-0.011,-0.0,0.005,-0.023
20,-0.002,-0.001,-0.0,-0.002,-0.001,-0.0,-0.0,-0.001,-0.001
21,-0.001,-0.001,-0.0,-0.002,-0.001,-0.0,-0.0,-0.001,-0.001
22,-0.002,0.002,-0.0,-0.002,-0.002,-0.0,-0.0,-0.001,-0.001
23,0.015,0.004,-0.013,0.011,0.007,-0.008,0.0,-0.007,-0.016
24,-0.006,-0.002,0.001,0.003,-0.004,0.001,0.0,-0.001,0.001
25,0.005,-0.0,-0.002,-0.066,-0.015,-0.011,0.005,-0.045,-0.036
26,0.005,-0.004,-0.002,-0.064,-0.017,-0.01,0.004,-0.042,-0.035
27,0.002,-0.004,-0.002,-0.061,-0.024,-0.009,0.007,-0.042,-0.033
28,-0.018,-0.019,-0.044,0.086,0.029,-0.048,-0.0,-0.023,-0.125
29,0.016,0.092,0.022,0.185,-0.193,0.035,-0.002,0.027,0.071
30,0.004,0.0,-0.006,-0.046,-0.016,0.004,-0.001,-0.009,0.025
31,0.004,-0.001,-0.005,-0.052,-0.016,0.004,-0.001,-0.008,0.029
32,0.001,-0.002,-0.006,-0.036,-0.019,0.003,-0.001,-0.007,0.022
33,-0.003,-0.033,-0.001,0.19,0.078,0.028,0.002,0.005,0.078
34,0.004,0.006,-0.028,0.076,-0.015,-0.02,0.0,-0.008,-0.059
35,-0.061,-0.06,-0.047,0.03,-0.031,0.006,-0.019,-0.022,-0.028
36,-0.066,-0.016,0.015,0.068,0.015,0.004,-0.063,0.026,0.018
37,-0.045,0.005,-0.034,0.052,-0.066,0.006,-0.022,-0.023,-0.038
38,0.021,0.026,-0.003,-0.396,-0.11,-0.001,0.007,-0.026,-0.005
39,-0.022,-0.033,-0.019,-0.284,0.012,-0.019,0.006,-0.091,-0.039
40,0.062,0.058,0.061,0.136,0.054,0.006,0.02,0.102,0.042
41,0.068,0.015,-0.001,0.1,0.007,0.008,0.065,0.054,-0.009
42,0.04,0.003,0.049,0.105,0.096,0.005,0.023,0.099,0.053
43,-0.023,-0.013,0.004,-0.097,-0.03,0.002,-0.009,-0.03,-0.005
44,0.006,0.013,-0.01,-0.143,0.014,-0.008,-0.008,-0.061,-0.005
